,fam_type,fam_name,clusters_in_fam,mibig_ids
1,known_family,simocyclinone D8;komodoquinone B;landomycin A;tetarimycin A;tetarimycin B;cosmomycin D;urdamycin;prejadomycin;rabelomycin;gaudimycin C;gaudimycin D;UWM6;gaudimycin A;simocyclinone;saprolmycin E;LL-D49194α1 (LLD);komodoquinone B;Sch-47554;Sch-47555;rhodomycin;saquayamycin A;warkmycin CS1;warkmycin CS2;cytorhodin;cosmomycin C;grincamycin;saquayamycin Z;kanamycin;simocyclinone D8,51,BGC0001072.1;BGC0001852.1;BGC0000239.1;BGC0000274.1;BGC0001074.1;BGC0000278.1;BGC0000262.1;BGC0000835.1;BGC0001384.1;BGC0001979.1;BGC0001851.1;BGC0000268.1;BGC0000265.1;BGC0001769.1;BGC0001438.1;BGC0001568.1;BGC0001558.1;BGC0000229.1;BGC0000267.1;BGC0000706.1;BGC0000270.1
2,known_family,"piericidin A1;actinoallolide A;aldgamycin J;aldgamycin K;aldgamycin P;aldgamycin E;10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin;ebelactone A;ebelactone B;mycinamicin II;griseochelin;spirangien O;FD-891;linfuranone B;linfuranone C;angolamycin;tylactone;nystatin;monensin;oligomycin;pladienolide B;E-837;tylactone;methymycin;rosamicin;salinipyrone A;pacificanone A;piericidin A1;midecamycin;laidlomycin;lasalocid;halstoctacosanolide A;niddamycin;nanchangmycin;azalomycin F3a;nystatin A1;monensin;chalcomycin A;niphimycins C-E;piericidin A1;nystatin-like Pseudonocardia polyene;pentamycin;JBIR-100;nigericin;selvamicin;lasalocid;filipin;lasalocid;LL-F28249α",44,BGC0001169.1;BGC0001495.1;BGC0001396.1;BGC0000047.1;BGC0000051.1;BGC0000102.1;BGC0001828.1;BGC0000149.1;BGC0000058.1;BGC0001653.1;BGC0000018.1;BGC0001812.1;BGC0001709.1;BGC0001670.1;BGC0000117.1;BGC0000126.1;BGC0000050.1;BGC0000166.1;BGC0000094.1;BGC0001830.1;BGC0001742.1;BGC0000096.1;BGC0000084.1;BGC0000086.1;BGC0000073.1;BGC0000113.1;BGC0000105.1;BGC0001523.1;BGC0000115.1;BGC0000100.1;BGC0000035.1;BGC0001700.1;BGC0000124.1;BGC0000116.1;BGC0002032.1;BGC0001348.1;BGC0000114.1;BGC0001773.1;BGC0000087.1;BGC0000059.1;BGC0001648.1;BGC0000109.1
3,known_family,erdacin;spore pigment;aranciamycin;curamycin;granaticin;huanglongmycin A;huanglongmycin B;huanglongmycin C;actinorhodin;kinamycin;naphtocyclinone;pradimicin-A;spore pigment;auricin;jadomycin;griseusin;fluostatin;granaticin;rabelomycin;dehydrorabelomycin;fluostatin F;fluostatin G;fluostatin H;frigocyclinone;oviedomycin;BE-7585A;paramagnetoquinone 1;paramagnetoquinone 2;arixanthomycin A;arixanthomycin B;arixanthomycin C;kiamycin;TLN-05220;fluostatins M-Q;BE-24566B;lugdunomycin;setomimycin;mayamycin;julichrome Q3-3;julichrome Q3-5;formicamycins A-M;anthrabenzoxocinone;BE-24566B;zunyimycin A;gilvocarcin V;oviedomycin,41,BGC0000221.1;BGC0000271.1;BGC0000197.1;BGC0000215.1;BGC0000227.1;BGC0001895.1;BGC0000194.1;BGC0000236.1;BGC0000248.1;BGC0000256.1;BGC0000272.1;BGC0000201.1;BGC0000234.1;BGC0000231.1;BGC0001904.1;BGC0000228.1;BGC0000223.1;BGC0002028.1;BGC0001723.1;BGC0000203.1;BGC0001730.1;BGC0000200.1;BGC0000235.1;BGC0001062.1;BGC0001596.1;BGC0001512.1;BGC0002016.1;BGC0002000.1;BGC0001661.1;BGC0002012.1;BGC0001590.1;BGC0001513.1;BGC0001366.1;BGC0000226.1;BGC0000253.1
4,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B;desferrioxamine E,23,BGC0000940.1;BGC0001453.1;BGC0001478.1;BGC0000941.1;BGC0001572.1
5,known_family,ectoine,21,BGC0000853.1
6,known_family,hopene,19,BGC0000663.1
7,unknown_family,u_Others_7,18,
8,known_family,melanin,18,BGC0000912.1
9,unknown_family,u_RiPPs_9,18,
10,unknown_family,u_Others_10,17,
