,Clustername 1,Clustername 2,Raw distance,Squared similarity,Jaccard index,DSS index,Adjacency index,raw DSS non-anchor,raw DSS anchor,Non-anchor domains,Anchor domains,Combined group,Shared group
0,NZ_KZ819172.1.region008,NZ_LQYF01000002.1.region006,0.004301079083234,0.991416335105896,1.0,0.9943406581878662,1.0,0.005835561081767,0.0042346571572124,97,12,T1PKS - T1PKS,T1PKS
5,BGC0000094.1,NZ_CP029194.1.region017,0.066733717918396,0.8709859251976013,1.0,0.9121924638748168,1.0,0.1134756505489349,0.0199703443795442,37,14,T1PKS - T1PKS,T1PKS
9,NZ_JAAMPB010000003.1.region001,NZ_KZ819172.1.region008,0.0052472739480435,0.989533007144928,1.0,0.9930956959724426,1.0,0.0071023670025169,0.0052373125217854,101,12,T1PKS - T1PKS,T1PKS
10,BGC0000094.1,NZ_CP059991.1.region019,0.0018543166806921,0.9962947964668274,1.0,0.9975600838661194,1.0,0.002901091473177,0.0012210012646391,37,14,T1PKS - T1PKS,T1PKS
11,NZ_CP023693.1.region008,NZ_LQYF01000002.1.region006,0.003392297308892,0.9932268857955932,1.0,0.99553644657135,1.0,0.0046319980174303,0.0031019209418445,97,12,T1PKS - T1PKS,T1PKS
12,NZ_CP023693.1.region008,NZ_JAAMPB010000003.1.region001,1.7347234759768068e-17,1.0,1.0,1.0,1.0,0.0,0.0,101,12,T1PKS - T1PKS,T1PKS
13,NZ_CP029194.1.region017,NZ_CP059991.1.region019,0.0947417020797729,0.8194925785064697,0.9756097793579102,0.8839184045791626,0.942307710647583,0.1355480253696441,0.0187493432313203,70,14,T1PKS - T1PKS,T1PKS
14,NZ_CP023693.1.region008,NZ_KZ819172.1.region008,0.0052472739480435,0.989533007144928,1.0,0.9930956959724426,1.0,0.0071023670025169,0.0052373125217854,101,12,T1PKS - T1PKS,T1PKS
16,NZ_CP027022.1.region016,NZ_LQYF01000002.1.region006,1.7347234759768068e-17,1.0,1.0,1.0,1.0,0.0,0.0,97,12,T1PKS - T1PKS,T1PKS
19,NZ_CP027022.1.region016,NZ_KZ819172.1.region008,0.004301079083234,0.991416335105896,1.0,0.9943406581878662,1.0,0.005835561081767,0.0042346571572124,97,12,T1PKS - T1PKS,T1PKS
22,NZ_CP027022.1.region016,NZ_JAAMPB010000003.1.region001,0.003392297308892,0.9932268857955932,1.0,0.99553644657135,1.0,0.0046319980174303,0.0031019209418445,97,12,T1PKS - T1PKS,T1PKS
28,NZ_JAAMPB010000003.1.region001,NZ_LQYF01000002.1.region006,0.003392297308892,0.9932268857955932,1.0,0.99553644657135,1.0,0.0046319980174303,0.0031019209418445,97,12,T1PKS - T1PKS,T1PKS
29,NZ_CP023693.1.region008,NZ_CP027022.1.region016,0.003392297308892,0.9932268857955932,1.0,0.99553644657135,1.0,0.0046319980174303,0.0031019209418445,97,12,T1PKS - T1PKS,T1PKS
246,NC_018750.1.region008,NZ_CP029197.1.region008,1.7347234759768068e-17,1.0,1.0,1.0,1.0,0.0,0.0,19,0,CDPS - CDPS,CDPS
247,NZ_JAGIPC010000001.1.region011,NZ_WWHE01000001.1.region009,0.1821321994066238,0.6689077615737915,0.8999999761581421,0.8194513320922852,0.699999988079071,0.1805486530065536,0.0,10,0,siderophore - siderophore,siderophore
248,NZ_PDCL01000002.1.region012,NZ_WWHE01000001.1.region018,0.0715601667761802,0.8620005249977112,1.0,0.9262266159057616,1.0,0.073773369193077,0.0,10,0,siderophore - siderophore,siderophore
249,NZ_BNBE01000002.1.region008,NZ_CP027022.1.region020,0.3506694436073303,0.4216301739215851,0.3636363744735718,0.6594785451889038,0.3000000119209289,0.3405214548110962,0.0,5,0,ectoine - ectoine,ectoine
250,NZ_BNBE01000001.1.region010,NZ_CP029196.1.region009,0.1369518786668777,0.7448520660400391,0.7777777910232544,0.8662580847740173,0.75,0.1337419152259826,0.0,7,0,siderophore - siderophore,siderophore
251,NZ_KZ819170.1.region002,NZ_LQYF01000001.1.region010,0.004538903478533,0.9909427762031556,1.0,0.995320737361908,1.0,0.0046792821958661,0.0,10,0,melanin - melanin,melanin
252,BGC0000940.1,NZ_JAGIPC010000001.1.region011,0.2921577095985412,0.5010406970977783,1.0,0.6988064646720886,1.0,0.301193505525589,0.0,7,0,siderophore - siderophore,siderophore
253,NZ_JAJNOJ010000002.1.region016,NZ_KZ819169.1.region001,0.06596290320158,0.8724253177642822,1.0,0.931997001171112,1.0,0.0680029913783073,0.0,10,0,siderophore - siderophore,siderophore
254,NZ_CP029196.1.region013,NZ_WWHE01000001.1.region014,0.0366233587265014,0.9280945658683776,1.0,0.9622439742088318,1.0,0.0377560406923294,0.0,40,0,butyrolactone - butyrolactone,butyrolactone
255,NZ_CP027022.1.region015,NZ_JAIHBQ010000001.1.region018,0.195466935634613,0.6472734808921814,1.0,0.8002058863639832,0.9166666865348816,0.1997940838336944,0.0,13,0,siderophore - siderophore,siderophore
256,NZ_CP029197.1.region009,NZ_JAJNOJ010000002.1.region023,0.0655902102589607,0.8731216788291931,1.0,0.9323812127113342,1.0,0.0676187723875045,0.0,13,0,siderophore - siderophore,siderophore
258,NZ_CP029194.1.region010,NZ_JAAMPB010000002.1.region008,0.3186798393726349,0.4641971588134765,0.7333333492279053,0.6818095445632935,0.6315789222717285,0.3181904554367065,0.0,18,0,NRPS.butyrolactone - butyrolactone,
259,NZ_CP029194.1.region016,NZ_CP059991.1.region020,0.0589621774852275,0.885552167892456,1.0,0.9392142295837402,1.0,0.0607857517898082,0.0,6,0,melanin - melanin,melanin
260,NZ_CP029197.1.region027,NZ_JAGIPC010000001.1.region028,0.0897272229194641,0.8285965323448181,1.0,0.9074977040290833,1.0,0.0925022885203361,0.0,12,0,melanin - melanin,melanin
261,BGC0000853.1,NZ_PDCL01000001.1.region007,0.2778716683387756,0.5214692950248718,0.5,0.731575608253479,0.375,0.2684244215488434,0.0,4,0,ectoine - ectoine,ectoine
262,BGC0000941.1,NZ_JAIHBQ010000001.1.region018,0.271842211484909,0.5302137732505798,1.0,0.7197502851486206,1.0,0.280249685049057,0.0,7,0,siderophore - siderophore,siderophore
