,Clustername 1,Clustername 2,Raw distance,Squared similarity,Jaccard index,DSS index,Adjacency index,raw DSS non-anchor,raw DSS anchor,Non-anchor domains,Anchor domains,Combined group,Shared group
0,NZ_KZ819172.1.region008,NZ_LQYF01000002.1.region006,0.004301079083234,0.991416335105896,1.0,0.9943406581878662,1.0,0.005835561081767,0.0042346571572124,97,12,T1PKS - T1PKS,T1PKS
4,BGC0000094.1,NZ_CP029194.1.region017,0.066733717918396,0.8709859251976013,1.0,0.9121924638748168,1.0,0.1134756505489349,0.0199703443795442,37,14,T1PKS - T1PKS,T1PKS
7,NZ_JAAMPB010000003.1.region001,NZ_KZ819172.1.region008,0.0052472739480435,0.989533007144928,1.0,0.9930956959724426,1.0,0.0071023670025169,0.0052373125217854,101,12,T1PKS - T1PKS,T1PKS
8,BGC0000094.1,NZ_CP059991.1.region019,0.0018543166806921,0.9962947964668274,1.0,0.9975600838661194,1.0,0.002901091473177,0.0012210012646391,37,14,T1PKS - T1PKS,T1PKS
9,NZ_CP023693.1.region008,NZ_LQYF01000002.1.region006,0.003392297308892,0.9932268857955932,1.0,0.99553644657135,1.0,0.0046319980174303,0.0031019209418445,97,12,T1PKS - T1PKS,T1PKS
10,NZ_CP023693.1.region008,NZ_JAAMPB010000003.1.region001,1.7347234759768068e-17,1.0,1.0,1.0,1.0,0.0,0.0,101,12,T1PKS - T1PKS,T1PKS
11,NZ_CP029194.1.region017,NZ_CP059991.1.region019,0.0947417020797729,0.8194925785064697,0.9756097793579102,0.8839184045791626,0.942307710647583,0.1355480253696441,0.0187493432313203,70,14,T1PKS - T1PKS,T1PKS
12,NZ_CP023693.1.region008,NZ_KZ819172.1.region008,0.0052472739480435,0.989533007144928,1.0,0.9930956959724426,1.0,0.0071023670025169,0.0052373125217854,101,12,T1PKS - T1PKS,T1PKS
14,NZ_CP027022.1.region016,NZ_LQYF01000002.1.region006,1.7347234759768068e-17,1.0,1.0,1.0,1.0,0.0,0.0,97,12,T1PKS - T1PKS,T1PKS
16,NZ_CP027022.1.region016,NZ_KZ819172.1.region008,0.004301079083234,0.991416335105896,1.0,0.9943406581878662,1.0,0.005835561081767,0.0042346571572124,97,12,T1PKS - T1PKS,T1PKS
19,NZ_CP027022.1.region016,NZ_JAAMPB010000003.1.region001,0.003392297308892,0.9932268857955932,1.0,0.99553644657135,1.0,0.0046319980174303,0.0031019209418445,97,12,T1PKS - T1PKS,T1PKS
25,NZ_JAAMPB010000003.1.region001,NZ_LQYF01000002.1.region006,0.003392297308892,0.9932268857955932,1.0,0.99553644657135,1.0,0.0046319980174303,0.0031019209418445,97,12,T1PKS - T1PKS,T1PKS
26,NZ_CP023693.1.region008,NZ_CP027022.1.region016,0.003392297308892,0.9932268857955932,1.0,0.99553644657135,1.0,0.0046319980174303,0.0031019209418445,97,12,T1PKS - T1PKS,T1PKS
