,product,bigscape_class,biosyn_class,compounds,chem_acts,accession,completeness,organism_name,ncbi_tax_id,publications,evidence,gcf_0.30,gcf_0.40,gcf_0.50,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30
BGC0000094.1,T1PKS,PKSI,Polyketide;Saccharide,methymycin,Antibacterial,AF079138.1,incomplete,Streptomyces venezuelae,54571,pubmed:9770448,Enzymatic assays,2065,2065,89,,46,known_family,methymycin
BGC0000215.1,T2PKS,PKSother,Polyketide,curamycin,,X62518.1,Unknown,Streptomyces cyaneus,1904,pubmed:1644304,,1273,1273,1273,,16,known_family,BE-24566B;spore pigment;BE-24566B;zunyimycin A;curamycin
BGC0000271.1,T2PKS,PKSother,Polyketide,spore pigment,,AB070937.1,Unknown,Streptomyces avermitilis,33903,pubmed:11572948,,2420,2163,2420,,16,known_family,BE-24566B;spore pigment;BE-24566B;zunyimycin A;curamycin
BGC0000272.1,T2PKS,PKSother,Polyketide,spore pigment,,AF293354.1,Unknown,Streptomyces collinus,42684,doi:10.7164/antibiotics.54.239,,1411,1411,2256,,50,known_family,anthrabenzoxocinone;spore pigment
BGC0000277.1,oligosaccharide,Saccharides,Polyketide,urdamycin,,AF164961.1,Unknown,Streptomyces fradiae,1906,pubmed:10658661,,,,,,,,
BGC0000563.1,lanthipeptide,RiPPs,RiPP,venezuelin,,HQ328852.1,complete,Streptomyces venezuelae ATCC 10712,953739,pubmed:20351769;pubmed:21229987,Enzymatic assays,2399,2399,2399,552,17,known_family,venezuelin
BGC0000689.1,amglyccycl,Saccharides,Saccharide,2-deoxystreptamine,,AJ575934.3,Unknown,Micromonospora echinospora,1877,pubmed:14757238,,,,,,,,
BGC0000690.1,amglyccycl,Saccharides,Saccharide,hydroxystreptomycin,,AJ006985.1,Unknown,Streptomyces glaucescens,1907,pubmed:8628239,,,,,,,,
BGC0000691.1,amglyccycl,Saccharides,Saccharide,acarbose,,Y18523.4,Unknown,Actinoplanes sp. SE50/110,134676,pubmed:10196166;pubmed:11443082;pubmed:11937512;pubmed:12681481;pubmed:15808935,,,,,,,,
BGC0000692.1,amglyccycl,Saccharides,Saccharide,apramycin,,AJ875019.1,Unknown,Streptoalloteichus hindustanus,2017,doi:10.1002/9780470149676.ch2,,,,,,,,
