,fam_type,fam_name,clusters_in_fam,mibig_ids
1,known_family,desferrioxamin B;desferrioxamine E;desferrioxamine;desferrioxamine E;desferrioxamin B,22,BGC0000940.1;BGC0001453.1;BGC0001478.1;BGC0000941.1
2,known_family,ectoine,21,BGC0000853.1
3,unknown_family,u_Others_3,18,
4,unknown_family,u_Others_4,18,
5,unknown_family,u_Terpene_5,18,
6,unknown_family,u_Others_6,17,
7,unknown_family,u_Others_7,16,
8,unknown_family,u_NRPS_8,14,
9,unknown_family,u_RiPPs_9,12,
10,unknown_family,u_Others_10,10,
11,unknown_family,u_Others_11,10,
12,unknown_family,u_PKSother_12,10,
13,unknown_family,u_NRPS_13,10,
14,unknown_family,u_Terpene_14,10,
15,unknown_family,u_Others_15,9,
16,known_family,BE-24566B;spore pigment;BE-24566B;zunyimycin A;curamycin,9,BGC0001512.1;BGC0000271.1;BGC0001366.1;BGC0000215.1
17,known_family,venezuelin,9,BGC0000563.1
18,unknown_family,u_RiPPs_18,8,
19,unknown_family,u_RiPPs_19,8,
20,unknown_family,u_Others_20,7,
21,unknown_family,u_Others_21,7,
22,known_family,venemycin,7,BGC0001819.1
23,known_family,chloramphenicol,7,BGC0000893.1
24,unknown_family,u_Others_24,6,
25,unknown_family,u_Others_25,6,
26,unknown_family,u_Others_26,6,
27,unknown_family,u_NRPS_27,6,
28,unknown_family,u_RiPPs_28,6,
29,unknown_family,u_RiPPs_29,6,
30,unknown_family,u_RiPPs_30,6,
31,unknown_family,u_Terpene_31,6,
32,unknown_family,u_PKSI_32,5,
33,unknown_family,u_Others_33,5,
34,unknown_family,u_Others_34,5,
35,unknown_family,u_Others_35,5,
36,unknown_family,u_Others_36,5,
37,unknown_family,u_Others_37,5,
38,unknown_family,u_PKSother_38,5,
39,unknown_family,u_NRPS_39,5,
40,unknown_family,u_Terpene_40,5,
41,unknown_family,u_Terpene_41,5,
42,unknown_family,u_Terpene_42,5,
43,unknown_family,u_Terpene_43,5,
44,unknown_family,u_Terpene_44,5,
45,unknown_family,u_NRPS_45,4,
46,known_family,methymycin,3,BGC0000094.1
47,known_family,kanamycin,3,BGC0000706.1
48,unknown_family,u_Others_48,3,
49,known_family,pactamides,3,BGC0001726.1
50,known_family,anthrabenzoxocinone;spore pigment,3,BGC0001513.1;BGC0000272.1
51,unknown_family,u_NRPS_51,3,
52,unknown_family,u_RiPPs_52,3,
53,unknown_family,u_Others_53,2,
54,unknown_family,u_Others_54,2,
55,unknown_family,u_Others_55,2,
56,unknown_family,u_Others_56,2,
57,unknown_family,u_Others_57,2,
58,unknown_family,u_Others_58,2,
59,unknown_family,u_Others_59,2,
60,unknown_family,u_Others_60,2,
61,unknown_family,u_Others_61,2,
62,unknown_family,u_Others_62,2,
63,known_family,melanin,2,BGC0000912.1
64,unknown_family,u_PKS-NRP_Hybrids_64,2,
65,unknown_family,u_PKS-NRP_Hybrids_65,2,
66,unknown_family,u_PKS-NRP_Hybrids_66,2,
67,unknown_family,u_PKS-NRP_Hybrids_67,2,
68,unknown_family,u_PKS-NRP_Hybrids_68,2,
69,unknown_family,u_NRPS_69,2,
70,unknown_family,u_NRPS_70,2,
71,unknown_family,u_NRPS_71,2,
72,unknown_family,u_RiPPs_72,2,
73,unknown_family,u_RiPPs_73,2,
74,unknown_family,u_RiPPs_74,2,
75,unknown_family,u_RiPPs_75,2,
76,unknown_family,u_RiPPs_76,2,
77,unknown_family,u_Terpene_77,2,
78,unknown_family,u_Terpene_78,2,
79,unknown_family,u_Terpene_79,2,
80,unknown_family,u_Terpene_80,2,
81,unknown_family,u_Terpene_81,2,
82,unknown_family,u_Terpene_82,2,
83,unknown_family,u_Others_83,1,
84,unknown_family,u_Others_84,1,
85,unknown_family,u_Others_85,1,
86,unknown_family,u_Others_86,1,
87,unknown_family,u_Others_87,1,
88,unknown_family,u_Others_88,1,
89,unknown_family,u_Others_89,1,
90,unknown_family,u_Others_90,1,
91,unknown_family,u_Others_91,1,
92,unknown_family,u_Others_92,1,
93,unknown_family,u_Others_93,1,
94,unknown_family,u_Others_94,1,
95,unknown_family,u_Others_95,1,
